,cpi_yoy_pct,pce_yoy_pct,real_pce_yoy_pct
count,108.0,108.0,108.0
mean,3.186891450336631,5.606985548356861,2.3223926729311395
std,2.200510674821938,5.030534230075576,3.78473791074794
min,0.1982013035848551,-14.2813156053184,-14.548818217614311
25%,1.6855681506925235,3.6900364659911866,1.457888887224651
50%,2.4560962693322197,5.028546865815398,2.139095374694888
75%,3.7009707161077703,6.397404461640921,2.687578828049192
max,8.999298141923106,29.94726186199914,24.78446263122873
skew,1.2347849382727039,0.8037262158365899,1.4505836534737608
kurtosis,0.49738642415985934,6.938234574812382,15.426518262537186
